hh_id,person_id,is_head_of_household,married,gender,race,age,voted_in_2012,is_college_graduate,adult,hh_type,hh_income,is_urban,is_owner_of_home,tercile_of_census_tract_income,is_registered_democrat
25,47,1,Single,Female,White,32,0,1,1,unmarried_couple,106200,1,0,Top,0
25,48,0,Single,Male,White,32,1,1,1,unmarried_couple,106200,1,0,Top,0
26,49,1,Single,Male,White,33,0,1,1,single_Male_head_of_household,53200,0,0,Top,0
27,50,1,Single,Female,White,29,0,1,1,unmarried_couple,119600,1,0,Bottom,1
27,51,0,Single,Male,Asian,27,1,1,1,unmarried_couple,119600,1,0,Bottom,1
28,52,1,Single,Male,White,31,1,1,1,single_Male_head_of_household,45900,1,0,Middle,1
29,53,1,Married,Female,Black,31,1,1,1,married_couple,100000,1,1,Middle,1
29,54,0,Married,Male,Black,33,0,1,1,married_couple,100000,1,1,Middle,1
29,55,0,Single,Male,Black,7,0,1,0,married_couple,100000,1,1,Middle,0
29,56,0,Single,Female,Black,3,0,1,0,married_couple,100000,1,1,Middle,0
30,57,1,Married,Female,Asian,30,0,0,1,married_couple,111400,1,1,Top,0
30,58,0,Married,Male,White,32,1,1,1,married_couple,111400,1,1,Top,0
30,59,0,Single,Female,Asian,6,0,1,0,married_couple,111400,1,1,Top,0
31,60,1,Married,Female,Black,34,0,1,1,married_couple,91000,1,1,Top,1
31,61,0,Married,Male,White,30,1,1,1,married_couple,91000,1,1,Top,1
32,62,1,Single,Female,Asian,25,1,1,1,unmarried_couple,99400,0,0,Top,0
32,63,0,Single,Male,White,32,0,0,1,unmarried_couple,99400,0,0,Top,1
32,64,0,Single,Male,Asian,6,0,1,0,unmarried_couple,99400,0,0,Top,0
33,65,1,Married,Female,White,30,1,1,1,married_couple,92200,1,1,Top,0
33,66,0,Married,Male,White,26,1,1,1,married_couple,92200,1,1,Top,0
33,67,0,Single,Female,White,6,0,1,0,married_couple,92200,1,1,Top,0
33,68,0,Single,Male,White,6,0,0,0,married_couple,92200,1,1,Top,0
34,69,1,Single,Female,White,32,1,1,1,unmarried_couple,100200,1,0,Top,0
34,70,0,Single,Male,White,29,0,1,1,unmarried_couple,100200,1,0,Top,1
35,71,1,Single,Female,Asian,34,1,1,1,single_Female_head_of_household,56900,1,0,Top,0
35,72,0,Single,Male,Asian,2,0,1,0,single_Female_head_of_household,56900,1,0,Top,0
36,73,1,Single,Male,Asian,33,0,0,1,single_Male_head_of_household,40700,1,0,Top,0
36,74,0,Single,Male,Asian,4,0,0,0,single_Male_head_of_household,40700,1,0,Top,0
37,75,1,Single,Male,White,31,1,0,1,single_Male_head_of_household,46800,0,0,Middle,1
38,76,1,Single,Female,White,34,1,0,1,unmarried_couple,102000,0,0,Top,0
38,77,0,Single,Male,White,34,1,1,1,unmarried_couple,102000,0,0,Top,0
38,78,0,Single,Male,White,2,0,0,0,unmarried_couple,102000,0,0,Top,0
39,79,1,Single,Male,Black,32,0,1,1,single_Male_head_of_household,47600,0,0,Middle,1
40,80,1,Married,Female,White,31,0,1,1,married_couple,87600,0,1,Top,0
40,81,0,Married,Male,White,34,0,0,1,married_couple,87600,0,1,Top,0
41,82,1,Single,Female,White,32,1,1,1,single_Female_head_of_household,49400,1,0,Bottom,1
42,83,1,Single,Female,White,32,0,0,1,unmarried_couple,100000,1,0,Top,0
42,84,0,Single,Male,White,33,0,1,1,unmarried_couple,100000,1,0,Top,0
43,85,1,Married,Female,Asian,29,1,1,1,married_couple,85400,0,1,Top,0
43,86,0,Married,Male,White,33,0,1,1,married_couple,85400,0,1,Top,0
44,87,1,Married,Female,White,34,0,1,1,married_couple,84600,1,1,Top,0
44,88,0,Married,Male,White,29,0,0,1,married_couple,84600,1,1,Top,0
45,89,1,Single,Male,White,30,1,1,1,single_Male_head_of_household,40000,0,0,Bottom,0
46,90,1,Single,Female,White,32,1,1,1,unmarried_couple,96400,0,0,Top,0
46,91,0,Single,Male,White,31,1,1,1,unmarried_couple,96400,0,0,Top,0
47,92,1,Married,Female,Asian,31,1,1,1,married_couple,105000,1,1,Top,1
47,93,0,Married,Male,White,33,0,1,1,married_couple,105000,1,1,Top,0
48,94,1,Single,Female,White,32,1,1,1,unmarried_couple,109400,1,0,Bottom,1
48,95,0,Single,Male,White,34,1,0,1,unmarried_couple,109400,1,0,Bottom,1
48,96,0,Single,Female,White,2,0,0,0,unmarried_couple,109400,1,0,Bottom,0
49,97,1,Married,Female,White,26,0,1,1,married_couple,81000,0,1,Middle,0
49,98,0,Married,Male,Asian,32,0,1,1,married_couple,81000,0,1,Middle,1
49,99,0,Single,Female,White,2,0,0,0,married_couple,81000,0,1,Middle,0
50,100,1,Single,Male,White,34,1,1,1,single_Male_head_of_household,47800,1,0,Top,0
50,101,0,Single,Female,White,3,0,0,0,single_Male_head_of_household,47800,1,0,Top,0
51,102,1,Single,Female,Asian,31,1,1,1,unmarried_couple,97800,0,0,Top,0
51,103,0,Single,Male,White,30,1,1,1,unmarried_couple,97800,0,0,Top,0
51,104,0,Single,Male,Asian,3,0,1,0,unmarried_couple,97800,0,0,Top,0
52,105,1,Single,Female,White,29,0,1,1,unmarried_couple,79800,1,0,Middle,1
52,106,0,Single,Male,White,31,1,1,1,unmarried_couple,79800,1,0,Middle,1
52,107,0,Single,Male,White,7,0,1,0,unmarried_couple,79800,1,0,Middle,0
53,108,1,Married,Female,White,26,0,0,1,married_couple,104400,0,1,Top,0
53,109,0,Married,Male,White,34,0,0,1,married_couple,104400,0,1,Top,0
53,110,0,Single,Female,White,7,0,0,0,married_couple,104400,0,1,Top,0
53,111,0,Single,Male,White,2,0,1,0,married_couple,104400,0,1,Top,0
54,112,1,Married,Female,White,31,0,1,1,married_couple,105000,1,1,Top,0
54,113,0,Married,Male,Asian,30,0,1,1,married_couple,105000,1,1,Top,0
55,114,1,Married,Female,Asian,27,0,1,1,married_couple,107200,1,1,Top,0
55,115,0,Married,Male,White,33,0,1,1,married_couple,107200,1,1,Top,0
56,116,1,Single,Female,White,25,1,0,1,unmarried_couple,89400,1,0,Bottom,0
56,117,0,Single,Male,White,25,0,1,1,unmarried_couple,89400,1,0,Bottom,0
57,118,1,Single,Male,White,32,1,1,1,single_Male_head_of_household,50100,1,0,Top,0
58,119,1,Single,Male,Asian,31,1,0,1,single_Male_head_of_household,48100,0,0,Bottom,1
58,120,0,Single,Female,Asian,3,0,0,0,single_Male_head_of_household,48100,0,0,Bottom,0
59,121,1,Single,Female,White,31,0,1,1,single_Female_head_of_household,48400,1,0,Top,0
59,122,0,Single,Male,White,5,0,0,0,single_Female_head_of_household,48400,1,0,Top,0
59,123,0,Single,Male,White,2,0,1,0,single_Female_head_of_household,48400,1,0,Top,0
60,124,1,Single,Female,Black,34,0,1,1,unmarried_couple,105600,0,0,Top,1
60,125,0,Single,Male,White,33,1,1,1,unmarried_couple,105600,0,0,Top,1
60,126,0,Single,Female,Black,6,0,1,0,unmarried_couple,105600,0,0,Top,0
61,127,1,Single,Female,White,30,1,1,1,single_Female_head_of_household,48300,1,0,Bottom,0
62,128,1,Single,Male,Asian,30,0,0,1,single_Male_head_of_household,58600,1,0,Top,0
63,129,1,Single,Female,White,34,1,1,1,single_Female_head_of_household,50600,1,0,Top,1
63,130,0,Single,Male,White,2,0,1,0,single_Female_head_of_household,50600,1,0,Top,0
64,131,1,Single,Male,White,25,1,0,1,single_Male_head_of_household,41600,1,0,Bottom,0
65,132,1,Single,Male,Asian,26,0,1,1,single_Male_head_of_household,49400,1,0,Top,0
66,133,1,Single,Female,White,34,0,0,1,unmarried_couple,96600,1,0,Top,0
66,134,0,Single,Male,White,33,1,0,1,unmarried_couple,96600,1,0,Top,0
66,135,0,Single,Male,White,6,0,0,0,unmarried_couple,96600,1,0,Top,0
67,136,1,Married,Female,White,25,1,1,1,married_couple,105800,0,1,Top,1
67,137,0,Married,Male,White,33,1,1,1,married_couple,105800,0,1,Top,1
68,138,1,Married,Female,White,31,0,0,1,married_couple,85400,0,1,Top,0
68,139,0,Married,Male,White,34,1,1,1,married_couple,85400,0,1,Top,1
68,140,0,Single,Female,White,6,0,1,0,married_couple,85400,0,1,Top,0
69,141,1,Married,Female,Asian,31,0,1,1,married_couple,98400,1,1,Top,0
69,142,0,Married,Male,White,33,1,1,1,married_couple,98400,1,1,Top,0
69,143,0,Single,Female,Asian,5,0,1,0,married_couple,98400,1,1,Top,0
70,144,1,Married,Female,White,33,0,1,1,married_couple,106800,1,1,Top,1
70,145,0,Married,Male,White,32,0,1,1,married_couple,106800,1,1,Top,0
71,146,1,Single,Female,White,34,1,1,1,unmarried_couple,105800,1,0,Middle,1
71,147,0,Single,Male,White,27,1,1,1,unmarried_couple,105800,1,0,Middle,1
71,148,0,Single,Male,White,3,0,0,0,unmarried_couple,105800,1,0,Middle,0
71,149,0,Single,Female,White,5,0,0,0,unmarried_couple,105800,1,0,Middle,0
72,150,1,Married,Female,Asian,29,0,1,1,married_couple,84000,1,1,Top,0
72,151,0,Married,Male,White,30,0,1,1,married_couple,84000,1,1,Top,0
73,152,1,Single,Male,White,29,1,1,1,single_Male_head_of_household,49100,1,0,Top,0
74,153,1,Single,Male,White,32,1,1,1,single_Male_head_of_household,48800,1,0,Top,1
74,154,0,Single,Female,White,3,0,1,0,single_Male_head_of_household,48800,1,0,Top,0
74,155,0,Single,Female,White,4,0,1,0,single_Male_head_of_household,48800,1,0,Top,0
75,156,1,Single,Female,White,34,1,1,1,unmarried_couple,100800,1,0,Middle,1
75,157,0,Single,Male,Asian,31,1,0,1,unmarried_couple,100800,1,0,Middle,0
76,158,1,Single,Male,White,31,0,1,1,single_Male_head_of_household,53100,1,0,Top,0
77,159,1,Single,Female,White,31,1,1,1,unmarried_couple,91600,0,0,Top,1
77,160,0,Single,Male,Asian,32,1,1,1,unmarried_couple,91600,0,0,Top,0
77,161,0,Single,Female,White,3,0,1,0,unmarried_couple,91600,0,0,Top,0
78,162,1,Single,Female,White,30,0,1,1,unmarried_couple,91800,1,0,Bottom,1
78,163,0,Single,Male,White,30,0,1,1,unmarried_couple,91800,1,0,Bottom,1
78,164,0,Single,Male,White,7,0,1,0,unmarried_couple,91800,1,0,Bottom,0
79,165,1,Married,Female,Asian,31,1,0,1,married_couple,97200,0,1,Top,0
79,166,0,Married,Male,White,30,0,0,1,married_couple,97200,0,1,Top,0
79,167,0,Single,Male,Asian,4,0,1,0,married_couple,97200,0,1,Top,0
80,168,1,Single,Male,Asian,25,1,1,1,single_Male_head_of_household,45600,1,0,Top,0
81,169,1,Married,Female,White,34,0,1,1,married_couple,103000,1,1,Middle,0
81,170,0,Married,Male,White,34,0,1,1,married_couple,103000,1,1,Middle,0
81,171,0,Single,Female,White,6,0,1,0,married_couple,103000,1,1,Middle,0
82,172,1,Single,Female,Black,32,1,1,1,unmarried_couple,87600,0,0,Middle,1
82,173,0,Single,Male,Asian,32,0,1,1,unmarried_couple,87600,0,0,Middle,0
83,174,1,Single,Female,White,34,1,0,1,unmarried_couple,103600,0,0,Middle,0
83,175,0,Single,Male,White,27,1,0,1,unmarried_couple,103600,0,0,Middle,0
84,176,1,Single,Female,White,28,1,1,1,unmarried_couple,96200,1,0,Top,1
84,177,0,Single,Male,White,26,1,1,1,unmarried_couple,96200,1,0,Top,0
84,178,0,Single,Male,White,4,0,0,0,unmarried_couple,96200,1,0,Top,0
85,179,1,Single,Female,White,30,0,0,1,unmarried_couple,103800,0,0,Top,0
85,180,0,Single,Male,White,32,0,1,1,unmarried_couple,103800,0,0,Top,1
85,181,0,Single,Female,White,4,0,0,0,unmarried_couple,103800,0,0,Top,0
86,182,1,Married,Female,White,34,0,1,1,married_couple,92400,1,1,Middle,1
86,183,0,Married,Male,White,32,1,1,1,married_couple,92400,1,1,Middle,1
87,184,1,Single,Female,White,32,1,1,1,unmarried_couple,100000,0,0,Top,1
87,185,0,Single,Male,White,32,1,1,1,unmarried_couple,100000,0,0,Top,0
87,186,0,Single,Male,White,4,0,1,0,unmarried_couple,100000,0,0,Top,0
88,187,1,Single,Female,White,30,1,0,1,unmarried_couple,113600,1,0,Top,0
88,188,0,Single,Male,White,32,0,0,1,unmarried_couple,113600,1,0,Top,0
89,189,1,Single,Female,White,34,0,0,1,unmarried_couple,89800,1,0,Top,0
89,190,0,Single,Male,White,33,1,1,1,unmarried_couple,89800,1,0,Top,0
89,191,0,Single,Male,White,6,0,1,0,unmarried_couple,89800,1,0,Top,0
90,192,1,Married,Female,White,31,0,0,1,married_couple,103600,0,1,Bottom,1
90,193,0,Married,Male,Asian,31,1,1,1,married_couple,103600,0,1,Bottom,0
90,194,0,Single,Female,White,5,0,1,0,married_couple,103600,0,1,Bottom,0
90,195,0,Single,Female,White,2,0,1,0,married_couple,103600,0,1,Bottom,0
91,196,1,Single,Male,White,34,1,1,1,single_Male_head_of_household,58400,0,0,Top,0
92,197,1,Single,Female,White,31,1,1,1,unmarried_couple,97400,1,0,Top,1
92,198,0,Single,Male,White,31,1,1,1,unmarried_couple,97400,1,0,Top,0
92,199,0,Single,Female,White,5,0,1,0,unmarried_couple,97400,1,0,Top,0
93,200,1,Single,Female,White,32,1,1,1,unmarried_couple,97200,1,0,Middle,0
93,201,0,Single,Male,White,31,1,1,1,unmarried_couple,97200,1,0,Middle,1
94,202,1,Married,Female,Asian,30,1,1,1,married_couple,113600,1,1,Middle,0
94,203,0,Married,Male,White,30,0,1,1,married_couple,113600,1,1,Middle,0
95,204,1,Married,Female,White,27,1,0,1,married_couple,99200,1,1,Middle,0
95,205,0,Married,Male,White,29,0,0,1,married_couple,99200,1,1,Middle,0
95,206,0,Single,Female,White,2,0,1,0,married_couple,99200,1,1,Middle,0
95,207,0,Single,Male,White,4,0,1,0,married_couple,99200,1,1,Middle,0
96,208,1,Single,Female,White,31,1,1,1,single_Female_head_of_household,56100,1,0,Top,0
96,209,0,Single,Female,White,5,0,0,0,single_Female_head_of_household,56100,1,0,Top,0
97,210,1,Single,Male,White,34,0,1,1,single_Male_head_of_household,54500,0,0,Bottom,0
98,211,1,Single,Male,White,32,0,1,1,single_Male_head_of_household,64100,1,0,Middle,1
99,212,1,Single,Female,Asian,25,1,1,1,unmarried_couple,88400,0,0,Top,1
99,213,0,Single,Male,White,30,1,0,1,unmarried_couple,88400,0,0,Top,0
100,214,1,Single,Female,White,33,0,1,1,unmarried_couple,105000,0,0,Top,0
100,215,0,Single,Male,White,28,1,1,1,unmarried_couple,105000,0,0,Top,0
101,216,1,Single,Male,Asian,34,0,0,1,single_Male_head_of_household,42200,1,0,Top,0
102,217,1,Single,Female,Asian,30,1,1,1,unmarried_couple,101800,0,0,Middle,0
102,218,0,Single,Male,White,31,1,0,1,unmarried_couple,101800,0,0,Middle,0
102,219,0,Single,Male,Asian,5,0,0,0,unmarried_couple,101800,0,0,Middle,0
103,220,1,Married,Female,White,33,1,1,1,married_couple,93000,0,1,Bottom,1
103,221,0,Married,Male,White,31,0,1,1,married_couple,93000,0,1,Bottom,1
103,222,0,Single,Female,White,7,0,1,0,married_couple,93000,0,1,Bottom,0
104,223,1,Single,Female,White,28,1,0,1,unmarried_couple,88200,0,0,Top,0
104,224,0,Single,Male,Black,34,0,1,1,unmarried_couple,88200,0,0,Top,1
104,225,0,Single,Female,White,3,0,0,0,unmarried_couple,88200,0,0,Top,0
104,226,0,Single,Female,White,4,0,0,0,unmarried_couple,88200,0,0,Top,0
105,227,1,Single,Male,White,25,1,0,1,single_Male_head_of_household,45800,1,0,Top,0
106,228,1,Married,Female,Asian,30,1,1,1,married_couple,109600,1,1,Middle,1
106,229,0,Married,Male,White,30,0,0,1,married_couple,109600,1,1,Middle,1
106,230,0,Single,Male,Asian,5,0,1,0,married_couple,109600,1,1,Middle,0
107,231,1,Single,Female,Asian,25,0,0,1,single_Female_head_of_household,56600,1,0,Top,0
108,232,1,Single,Female,White,31,1,1,1,unmarried_couple,89400,1,0,Top,0
108,233,0,Single,Male,White,32,0,1,1,unmarried_couple,89400,1,0,Top,1
108,234,0,Single,Female,White,4,0,1,0,unmarried_couple,89400,1,0,Top,0
109,235,1,Married,Female,Black,27,0,1,1,married_couple,103400,0,1,Top,0
109,236,0,Married,Male,White,25,1,1,1,married_couple,103400,0,1,Top,0
110,237,1,Single,Male,White,33,0,0,1,single_Male_head_of_household,52000,0,0,Middle,0
111,238,1,Single,Female,White,31,1,1,1,unmarried_couple,101400,0,0,Top,0
111,239,0,Single,Male,White,30,0,0,1,unmarried_couple,101400,0,0,Top,0
111,240,0,Single,Female,White,5,0,1,0,unmarried_couple,101400,0,0,Top,0
112,241,1,Single,Male,White,29,1,0,1,single_Male_head_of_household,55000,1,0,Middle,1
113,242,1,Single,Female,White,30,0,0,1,unmarried_couple,123200,1,0,Top,1
113,243,0,Single,Male,Asian,33,0,0,1,unmarried_couple,123200,1,0,Top,0
113,244,0,Single,Female,White,5,0,1,0,unmarried_couple,123200,1,0,Top,0
114,245,1,Single,Female,Asian,33,1,0,1,unmarried_couple,105200,1,0,Bottom,1
114,246,0,Single,Male,White,34,0,0,1,unmarried_couple,105200,1,0,Bottom,1
115,247,1,Single,Female,White,30,1,1,1,unmarried_couple,99600,0,0,Top,0
115,248,0,Single,Male,White,32,0,1,1,unmarried_couple,99600,0,0,Top,0
116,249,1,Single,Female,White,30,0,1,1,unmarried_couple,109600,1,0,Top,1
116,250,0,Single,Male,White,28,1,0,1,unmarried_couple,109600,1,0,Top,0
116,251,0,Single,Female,White,3,0,1,0,unmarried_couple,109600,1,0,Top,0
116,252,0,Single,Female,White,2,0,1,0,unmarried_couple,109600,1,0,Top,0
117,253,1,Married,Female,White,31,0,1,1,married_couple,104400,0,1,Top,0
117,254,0,Married,Male,White,25,1,0,1,married_couple,104400,0,1,Top,0
118,255,1,Single,Male,White,31,1,0,1,single_Male_head_of_household,52400,1,0,Top,0
119,256,1,Single,Female,White,27,1,1,1,unmarried_couple,98400,0,0,Bottom,1
119,257,0,Single,Male,White,26,1,1,1,unmarried_couple,98400,0,0,Bottom,1
119,258,0,Single,Female,White,2,0,1,0,unmarried_couple,98400,0,0,Bottom,0
120,259,1,Single,Female,White,28,1,0,1,unmarried_couple,106000,1,0,Middle,0
120,260,0,Single,Male,White,28,1,0,1,unmarried_couple,106000,1,0,Middle,0
121,261,1,Single,Female,Asian,33,1,0,1,unmarried_couple,93800,0,0,Top,0
121,262,0,Single,Male,White,29,1,1,1,unmarried_couple,93800,0,0,Top,0
122,263,1,Single,Female,White,33,1,1,1,unmarried_couple,87000,1,0,Top,0
122,264,0,Single,Male,Black,27,1,0,1,unmarried_couple,87000,1,0,Top,0
123,265,1,Married,Female,White,34,0,1,1,married_couple,101000,1,1,Bottom,1
123,266,0,Married,Male,Black,31,0,1,1,married_couple,101000,1,1,Bottom,1
123,267,0,Single,Female,White,6,0,0,0,married_couple,101000,1,1,Bottom,0
124,268,1,Single,Female,White,28,1,1,1,unmarried_couple,104200,0,0,Top,0
124,269,0,Single,Male,White,30,0,1,1,unmarried_couple,104200,0,0,Top,0
125,270,1,Married,Female,White,33,0,1,1,married_couple,80600,1,1,Top,0
125,271,0,Married,Male,White,26,0,1,1,married_couple,80600,1,1,Top,1
125,272,0,Single,Male,White,2,0,1,0,married_couple,80600,1,1,Top,0
125,273,0,Single,Female,White,2,0,1,0,married_couple,80600,1,1,Top,0
126,274,1,Single,Female,White,32,1,1,1,unmarried_couple,72000,0,0,Top,0
126,275,0,Single,Male,Asian,27,1,0,1,unmarried_couple,72000,0,0,Top,0
127,276,1,Single,Female,Asian,29,1,1,1,unmarried_couple,94800,0,0,Top,0
127,277,0,Single,Male,White,32,0,1,1,unmarried_couple,94800,0,0,Top,0
128,278,1,Single,Female,Black,33,1,0,1,unmarried_couple,87000,1,0,Top,0
128,279,0,Single,Male,White,31,0,1,1,unmarried_couple,87000,1,0,Top,0
129,280,1,Single,Female,White,34,1,1,1,unmarried_couple,96400,0,0,Top,1
129,281,0,Single,Male,Black,31,0,1,1,unmarried_couple,96400,0,0,Top,0
129,282,0,Single,Male,White,7,0,0,0,unmarried_couple,96400,0,0,Top,0
129,283,0,Single,Male,White,6,0,0,0,unmarried_couple,96400,0,0,Top,0
130,284,1,Single,Female,White,33,1,1,1,unmarried_couple,88000,0,0,Top,0
130,285,0,Single,Male,White,29,0,1,1,unmarried_couple,88000,0,0,Top,0
131,286,1,Single,Female,White,34,0,1,1,single_Female_head_of_household,55100,1,0,Top,0
132,287,1,Single,Male,Black,26,0,0,1,single_Male_head_of_household,49800,0,0,Bottom,0
133,288,1,Married,Female,White,30,1,0,1,married_couple,89400,1,1,Top,0
133,289,0,Married,Male,White,31,1,0,1,married_couple,89400,1,1,Top,0
134,290,1,Single,Male,White,34,0,0,1,single_Male_head_of_household,50300,1,0,Top,0
134,291,0,Single,Female,White,5,0,1,0,single_Male_head_of_household,50300,1,0,Top,0
135,292,1,Married,Female,White,33,0,0,1,married_couple,100400,1,1,Top,0
135,293,0,Married,Male,White,33,0,1,1,married_couple,100400,1,1,Top,0
136,294,1,Single,Female,White,32,0,1,1,unmarried_couple,81800,0,0,Top,1
136,295,0,Single,Male,White,27,0,0,1,unmarried_couple,81800,0,0,Top,0
136,296,0,Single,Male,White,7,0,0,0,unmarried_couple,81800,0,0,Top,0
136,297,0,Single,Male,White,4,0,0,0,unmarried_couple,81800,0,0,Top,0
137,298,1,Married,Female,White,29,1,0,1,married_couple,98800,0,1,Top,0
137,299,0,Married,Male,White,32,0,1,1,married_couple,98800,0,1,Top,0
137,300,0,Single,Female,White,2,0,1,0,married_couple,98800,0,1,Top,0
138,301,1,Married,Female,White,30,1,1,1,married_couple,103800,1,1,Middle,1
138,302,0,Married,Male,White,31,1,0,1,married_couple,103800,1,1,Middle,0
138,303,0,Single,Male,White,5,0,0,0,married_couple,103800,1,1,Middle,0
139,304,1,Married,Female,Asian,34,0,1,1,married_couple,101000,1,1,Middle,1
139,305,0,Married,Male,Asian,34,0,1,1,married_couple,101000,1,1,Middle,1
140,306,1,Single,Female,Asian,29,1,1,1,single_Female_head_of_household,49500,1,0,Top,0
140,307,0,Single,Female,Asian,4,0,1,0,single_Female_head_of_household,49500,1,0,Top,0
141,308,1,Married,Female,White,29,0,1,1,married_couple,88000,1,1,Top,0
141,309,0,Married,Male,White,33,0,1,1,married_couple,88000,1,1,Top,0
142,310,1,Married,Female,White,33,0,1,1,married_couple,105400,1,1,Middle,0
142,311,0,Married,Male,White,34,0,0,1,married_couple,105400,1,1,Middle,0
143,312,1,Married,Female,White,30,0,0,1,married_couple,90800,0,1,Top,1
143,313,0,Married,Male,White,29,0,1,1,married_couple,90800,0,1,Top,1
143,314,0,Single,Female,White,3,0,0,0,married_couple,90800,0,1,Top,0
144,315,1,Married,Female,White,30,1,0,1,married_couple,99600,1,1,Top,0
144,316,0,Married,Male,White,33,0,1,1,married_couple,99600,1,1,Top,1
145,317,1,Married,Female,Black,33,1,1,1,married_couple,89000,1,1,Middle,0
145,318,0,Married,Male,White,34,0,0,1,married_couple,89000,1,1,Middle,0
146,319,1,Single,Female,White,31,1,1,1,single_Female_head_of_household,52600,1,0,Top,1
147,320,1,Single,Female,Asian,31,1,0,1,single_Female_head_of_household,56900,0,0,Top,0
148,321,1,Married,Female,White,27,0,0,1,married_couple,99000,1,1,Middle,0
148,322,0,Married,Male,White,32,1,1,1,married_couple,99000,1,1,Middle,0
149,323,1,Single,Female,Asian,33,1,1,1,unmarried_couple,112000,1,0,Bottom,1
149,324,0,Single,Male,White,32,1,1,1,unmarried_couple,112000,1,0,Bottom,0
149,325,0,Single,Female,Asian,2,0,1,0,unmarried_couple,112000,1,0,Bottom,0
