,hh_id,person_id,is_head_of_household,married,gender,race,age,voted_in_2012,is_college_graduate,adult,hh_type,hh_income,is_urban,is_owner_of_home,tercile_of_census_tract_income,is_registered_democrat
21,11,22,1,Single,Female,White,30,0,1,1,unmarried_couple,87600,1,0,Top,0.0
22,11,23,0,Single,Male,White,28,0,1,1,unmarried_couple,87600,1,0,Top,1.0
23,12,24,1,Single,Male,Asian,27,0,1,1,single_Male_head_of_household,49400,1,0,Middle,0.0
24,12,25,0,Single,Female,Asian,5,0,1,0,single_Male_head_of_household,49400,1,0,Middle,0.0
25,13,26,1,Single,Male,White,29,1,1,1,single_Male_head_of_household,56900,1,0,Top,1.0
26,14,27,1,Single,Male,White,33,1,1,1,single_Male_head_of_household,46500,0,0,Top,0.0
27,15,28,1,Single,Male,Asian,34,1,0,1,single_Male_head_of_household,56800,1,0,Middle,0.0
28,16,29,1,Single,Male,White,26,0,1,1,single_Male_head_of_household,51200,1,0,Bottom,1.0
29,17,30,1,Single,Female,White,33,1,1,1,single_Female_head_of_household,41900,1,0,Middle,0.0
30,18,31,1,Single,Female,White,27,0,1,1,unmarried_couple,113000,1,0,Top,0.0
31,18,32,0,Single,Male,White,32,0,0,1,unmarried_couple,113000,1,0,Top,0.0
32,19,33,1,Single,Male,White,30,1,0,1,single_Male_head_of_household,50100,0,0,Top,0.0
33,20,34,1,Married,Female,Asian,29,0,1,1,married_couple,90000,1,1,Middle,1.0
34,20,35,0,Married,Male,White,32,0,1,1,married_couple,90000,1,1,Middle,1.0
35,20,36,0,Single,Female,Asian,2,0,1,0,married_couple,90000,1,1,Middle,0.0
36,20,37,0,Single,Male,Asian,3,0,1,0,married_couple,90000,1,1,Middle,0.0
37,21,38,1,Single,Male,Asian,27,1,0,1,single_Male_head_of_household,52400,1,0,Top,1.0
38,21,39,0,Single,Male,Asian,2,0,1,0,single_Male_head_of_household,52400,1,0,Top,0.0
39,21,40,0,Single,Female,Asian,5,0,1,0,single_Male_head_of_household,52400,1,0,Top,0.0
40,22,41,1,Single,Female,White,28,1,1,1,unmarried_couple,90200,1,0,Top,0.0
41,22,42,0,Single,Male,White,31,0,0,1,unmarried_couple,90200,1,0,Top,0.0
42,22,43,0,Single,Male,White,5,0,1,0,unmarried_couple,90200,1,0,Top,0.0
43,23,44,1,Single,Female,White,30,1,0,1,unmarried_couple,109800,1,0,Middle,1.0
44,23,45,0,Single,Male,White,30,1,1,1,unmarried_couple,109800,1,0,Middle,0.0
45,24,46,1,Single,Female,White,33,1,1,1,single_Female_head_of_household,45600,0,0,Middle,1.0
46,25,47,1,Single,Female,White,32,0,1,1,unmarried_couple,106200,1,0,Top,0.0
47,25,48,0,Single,Male,White,32,1,1,1,unmarried_couple,106200,1,0,Top,0.0
48,26,49,1,Single,Male,White,33,0,1,1,single_Male_head_of_household,53200,0,0,Top,0.0
49,27,50,1,Single,Female,White,29,0,1,1,unmarried_couple,119600,1,0,Bottom,1.0
50,27,51,0,Single,Male,Asian,27,1,1,1,unmarried_couple,119600,1,0,Bottom,1.0
51,28,52,1,Single,Male,White,31,1,1,1,single_Male_head_of_household,45900,1,0,Middle,1.0
52,29,53,1,Married,Female,Black,31,1,1,1,married_couple,100000,1,1,Middle,1.0
53,29,54,0,Married,Male,Black,33,0,1,1,married_couple,100000,1,1,Middle,1.0
54,29,55,0,Single,Male,Black,7,0,1,0,married_couple,100000,1,1,Middle,0.0
55,29,56,0,Single,Female,Black,3,0,1,0,married_couple,100000,1,1,Middle,0.0
56,30,57,1,Married,Female,Asian,30,0,0,1,married_couple,111400,1,1,Top,0.0
57,30,58,0,Married,Male,White,32,1,1,1,married_couple,111400,1,1,Top,0.0
58,30,59,0,Single,Female,Asian,6,0,1,0,married_couple,111400,1,1,Top,0.0
59,31,60,1,Married,Female,Black,34,0,1,1,married_couple,91000,1,1,Top,1.0
60,31,61,0,Married,Male,White,30,1,1,1,married_couple,91000,1,1,Top,1.0
61,32,62,1,Single,Female,Asian,25,1,1,1,unmarried_couple,99400,0,0,Top,0.0
62,32,63,0,Single,Male,White,32,0,0,1,unmarried_couple,99400,0,0,Top,1.0
63,32,64,0,Single,Male,Asian,6,0,1,0,unmarried_couple,99400,0,0,Top,0.0
64,33,65,1,Married,Female,White,30,1,1,1,married_couple,92200,1,1,Top,0.0
65,33,66,0,Married,Male,White,26,1,1,1,married_couple,92200,1,1,Top,0.0
66,33,67,0,Single,Female,White,6,0,1,0,married_couple,92200,1,1,Top,0.0
67,33,68,0,Single,Male,White,6,0,0,0,married_couple,92200,1,1,Top,0.0
68,34,69,1,Single,Female,White,32,1,1,1,unmarried_couple,100200,1,0,Top,0.0
69,34,70,0,Single,Male,White,29,0,1,1,unmarried_couple,100200,1,0,Top,1.0
70,35,71,1,Single,Female,Asian,34,1,1,1,single_Female_head_of_household,56900,1,0,Top,0.0
71,35,72,0,Single,Male,Asian,2,0,1,0,single_Female_head_of_household,56900,1,0,Top,0.0
72,36,73,1,Single,Male,Asian,33,0,0,1,single_Male_head_of_household,40700,1,0,Top,0.0
73,36,74,0,Single,Male,Asian,4,0,0,0,single_Male_head_of_household,40700,1,0,Top,0.0
74,37,75,1,Single,Male,White,31,1,0,1,single_Male_head_of_household,46800,0,0,Middle,1.0
75,38,76,1,Single,Female,White,34,1,0,1,unmarried_couple,102000,0,0,Top,0.0
76,38,77,0,Single,Male,White,34,1,1,1,unmarried_couple,102000,0,0,Top,0.0
77,38,78,0,Single,Male,White,2,0,0,0,unmarried_couple,102000,0,0,Top,0.0
78,39,79,1,Single,Male,Black,32,0,1,1,single_Male_head_of_household,47600,0,0,Middle,1.0
79,40,80,1,Married,Female,White,31,0,1,1,married_couple,87600,0,1,Top,0.0
80,40,81,0,Married,Male,White,34,0,0,1,married_couple,87600,0,1,Top,0.0
81,41,82,1,Single,Female,White,32,1,1,1,single_Female_head_of_household,49400,1,0,Bottom,1.0
82,42,83,1,Single,Female,White,32,0,0,1,unmarried_couple,100000,1,0,Top,0.0
83,42,84,0,Single,Male,White,33,0,1,1,unmarried_couple,100000,1,0,Top,0.0
84,43,85,1,Married,Female,Asian,29,1,1,1,married_couple,85400,0,1,Top,0.0
85,43,86,0,Married,Male,White,33,0,1,1,married_couple,85400,0,1,Top,0.0
86,44,87,1,Married,Female,White,34,0,1,1,married_couple,84600,1,1,Top,0.0
87,44,88,0,Married,Male,White,29,0,0,1,married_couple,84600,1,1,Top,0.0
88,45,89,1,Single,Male,White,30,1,1,1,single_Male_head_of_household,40000,0,0,Bottom,0.0
89,46,90,1,Single,Female,White,32,1,1,1,unmarried_couple,96400,0,0,Top,0.0
90,46,91,0,Single,Male,White,31,1,1,1,unmarried_couple,96400,0,0,Top,0.0
91,47,92,1,Married,Female,Asian,31,1,1,1,married_couple,105000,1,1,Top,1.0
92,47,93,0,Married,Male,White,33,0,1,1,married_couple,105000,1,1,Top,0.0
93,48,94,1,Single,Female,White,32,1,1,1,unmarried_couple,109400,1,0,Bottom,1.0
94,48,95,0,Single,Male,White,34,1,0,1,unmarried_couple,109400,1,0,Bottom,1.0
95,48,96,0,Single,Female,White,2,0,0,0,unmarried_couple,109400,1,0,Bottom,0.0
96,49,97,1,Married,Female,White,26,0,1,1,married_couple,81000,0,1,Middle,0.0
97,49,98,0,Married,Male,Asian,32,0,1,1,married_couple,81000,0,1,Middle,1.0
98,49,99,0,Single,Female,White,2,0,0,0,married_couple,81000,0,1,Middle,0.0
99,50,100,1,Single,Male,White,34,1,1,1,single_Male_head_of_household,47800,1,0,Top,0.0
100,50,101,0,Single,Female,White,3,0,0,0,single_Male_head_of_household,47800,1,0,Top,0.0
101,51,102,1,Single,Female,Asian,31,1,1,1,unmarried_couple,97800,0,0,Top,0.0
102,51,103,0,Single,Male,White,30,1,1,1,unmarried_couple,97800,0,0,Top,0.0
103,51,104,0,Single,Male,Asian,3,0,1,0,unmarried_couple,97800,0,0,Top,0.0
104,52,105,1,Single,Female,White,29,0,1,1,unmarried_couple,79800,1,0,Middle,1.0
105,52,106,0,Single,Male,White,31,1,1,1,unmarried_couple,79800,1,0,Middle,1.0
106,52,107,0,Single,Male,White,7,0,1,0,unmarried_couple,79800,1,0,Middle,0.0
107,53,108,1,Married,Female,White,26,0,0,1,married_couple,104400,0,1,Top,0.0
108,53,109,0,Married,Male,White,34,0,0,1,married_couple,104400,0,1,Top,0.0
109,53,110,0,Single,Female,White,7,0,0,0,married_couple,104400,0,1,Top,0.0
110,53,111,0,Single,Male,White,2,0,1,0,married_couple,104400,0,1,Top,0.0
111,54,112,1,Married,Female,White,31,0,1,1,married_couple,105000,1,1,Top,0.0
112,54,113,0,Married,Male,Asian,30,0,1,1,married_couple,105000,1,1,Top,0.0
113,55,114,1,Married,Female,Asian,27,0,1,1,married_couple,107200,1,1,Top,0.0
114,55,115,0,Married,Male,White,33,0,1,1,married_couple,107200,1,1,Top,0.0
115,56,116,1,Single,Female,White,25,1,0,1,unmarried_couple,89400,1,0,Bottom,0.0
116,56,117,0,Single,Male,White,25,0,1,1,unmarried_couple,89400,1,0,Bottom,0.0
117,57,118,1,Single,Male,White,32,1,1,1,single_Male_head_of_household,50100,1,0,Top,0.0
118,58,119,1,Single,Male,Asian,31,1,0,1,single_Male_head_of_household,48100,0,0,Bottom,1.0
119,58,120,0,Single,Female,Asian,3,0,0,0,single_Male_head_of_household,48100,0,0,Bottom,0.0
120,59,121,1,Single,Female,White,31,0,1,1,single_Female_head_of_household,48400,1,0,Top,0.0
121,59,122,0,Single,Male,White,5,0,0,0,single_Female_head_of_household,48400,1,0,Top,0.0
122,59,123,0,Single,Male,White,2,0,1,0,single_Female_head_of_household,48400,1,0,Top,0.0
123,60,124,1,Single,Female,Black,34,0,1,1,unmarried_couple,105600,0,0,Top,1.0
124,60,125,0,Single,Male,White,33,1,1,1,unmarried_couple,105600,0,0,Top,1.0
125,60,126,0,Single,Female,Black,6,0,1,0,unmarried_couple,105600,0,0,Top,0.0
126,61,127,1,Single,Female,White,30,1,1,1,single_Female_head_of_household,48300,1,0,Bottom,0.0
127,62,128,1,Single,Male,Asian,30,0,0,1,single_Male_head_of_household,58600,1,0,Top,0.0
128,63,129,1,Single,Female,White,34,1,1,1,single_Female_head_of_household,50600,1,0,Top,1.0
129,63,130,0,Single,Male,White,2,0,1,0,single_Female_head_of_household,50600,1,0,Top,0.0
130,64,131,1,Single,Male,White,25,1,0,1,single_Male_head_of_household,41600,1,0,Bottom,0.0
131,65,132,1,Single,Male,Asian,26,0,1,1,single_Male_head_of_household,49400,1,0,Top,0.0
132,66,133,1,Single,Female,White,34,0,0,1,unmarried_couple,96600,1,0,Top,0.0
133,66,134,0,Single,Male,White,33,1,0,1,unmarried_couple,96600,1,0,Top,0.0
134,66,135,0,Single,Male,White,6,0,0,0,unmarried_couple,96600,1,0,Top,0.0
135,67,136,1,Married,Female,White,25,1,1,1,married_couple,105800,0,1,Top,1.0
136,67,137,0,Married,Male,White,33,1,1,1,married_couple,105800,0,1,Top,1.0
137,68,138,1,Married,Female,White,31,0,0,1,married_couple,85400,0,1,Top,0.0
138,68,139,0,Married,Male,White,34,1,1,1,married_couple,85400,0,1,Top,1.0
139,68,140,0,Single,Female,White,6,0,1,0,married_couple,85400,0,1,Top,0.0
140,69,141,1,Married,Female,Asian,31,0,1,1,married_couple,98400,1,1,Top,0.0
141,69,142,0,Married,Male,White,33,1,1,1,married_couple,98400,1,1,Top,0.0
142,69,143,0,Single,Female,Asian,5,0,1,0,married_couple,98400,1,1,Top,0.0
143,70,144,1,Married,Female,White,33,0,1,1,married_couple,106800,1,1,Top,1.0
144,70,145,0,Married,Male,White,32,0,1,1,married_couple,106800,1,1,Top,0.0
145,71,146,1,Single,Female,White,34,1,1,1,unmarried_couple,105800,1,0,Middle,1.0
146,71,147,0,Single,Male,White,27,1,1,1,unmarried_couple,105800,1,0,Middle,1.0
147,71,148,0,Single,Male,White,3,0,0,0,unmarried_couple,105800,1,0,Middle,0.0
148,71,149,0,Single,Female,White,5,0,0,0,unmarried_couple,105800,1,0,Middle,0.0
149,72,150,1,Married,Female,Asian,29,0,1,1,married_couple,84000,1,1,Top,0.0
150,72,151,0,Married,Male,White,30,0,1,1,married_couple,84000,1,1,Top,0.0
151,73,152,1,Single,Male,White,29,1,1,1,single_Male_head_of_household,49100,1,0,Top,0.0
152,74,153,1,Single,Male,White,32,1,1,1,single_Male_head_of_household,48800,1,0,Top,1.0
153,74,154,0,Single,Female,White,3,0,1,0,single_Male_head_of_household,48800,1,0,Top,0.0
154,74,155,0,Single,Female,White,4,0,1,0,single_Male_head_of_household,48800,1,0,Top,0.0
155,75,156,1,Single,Female,White,34,1,1,1,unmarried_couple,100800,1,0,Middle,1.0
156,75,157,0,Single,Male,Asian,31,1,0,1,unmarried_couple,100800,1,0,Middle,0.0
157,76,158,1,Single,Male,White,31,0,1,1,single_Male_head_of_household,53100,1,0,Top,0.0
158,77,159,1,Single,Female,White,31,1,1,1,unmarried_couple,91600,0,0,Top,1.0
159,77,160,0,Single,Male,Asian,32,1,1,1,unmarried_couple,91600,0,0,Top,0.0
160,77,161,0,Single,Female,White,3,0,1,0,unmarried_couple,91600,0,0,Top,0.0
161,78,162,1,Single,Female,White,30,0,1,1,unmarried_couple,91800,1,0,Bottom,1.0
162,78,163,0,Single,Male,White,30,0,1,1,unmarried_couple,91800,1,0,Bottom,1.0
163,78,164,0,Single,Male,White,7,0,1,0,unmarried_couple,91800,1,0,Bottom,0.0
164,79,165,1,Married,Female,Asian,31,1,0,1,married_couple,97200,0,1,Top,0.0
165,79,166,0,Married,Male,White,30,0,0,1,married_couple,97200,0,1,Top,0.0
166,79,167,0,Single,Male,Asian,4,0,1,0,married_couple,97200,0,1,Top,0.0
167,80,168,1,Single,Male,Asian,25,1,1,1,single_Male_head_of_household,45600,1,0,Top,0.0
168,81,169,1,Married,Female,White,34,0,1,1,married_couple,103000,1,1,Middle,0.0
169,81,170,0,Married,Male,White,34,0,1,1,married_couple,103000,1,1,Middle,0.0
170,81,171,0,Single,Female,White,6,0,1,0,married_couple,103000,1,1,Middle,0.0
171,82,172,1,Single,Female,Black,32,1,1,1,unmarried_couple,87600,0,0,Middle,1.0
172,82,173,0,Single,Male,Asian,32,0,1,1,unmarried_couple,87600,0,0,Middle,0.0
173,83,174,1,Single,Female,White,34,1,0,1,unmarried_couple,103600,0,0,Middle,0.0
174,83,175,0,Single,Male,White,27,1,0,1,unmarried_couple,103600,0,0,Middle,0.0
175,84,176,1,Single,Female,White,28,1,1,1,unmarried_couple,96200,1,0,Top,1.0
176,84,177,0,Single,Male,White,26,1,1,1,unmarried_couple,96200,1,0,Top,0.0
177,84,178,0,Single,Male,White,4,0,0,0,unmarried_couple,96200,1,0,Top,0.0
178,85,179,1,Single,Female,White,30,0,0,1,unmarried_couple,103800,0,0,Top,0.0
179,85,180,0,Single,Male,White,32,0,1,1,unmarried_couple,103800,0,0,Top,1.0
180,85,181,0,Single,Female,White,4,0,0,0,unmarried_couple,103800,0,0,Top,0.0
181,86,182,1,Married,Female,White,34,0,1,1,married_couple,92400,1,1,Middle,1.0
182,86,183,0,Married,Male,White,32,1,1,1,married_couple,92400,1,1,Middle,1.0
183,87,184,1,Single,Female,White,32,1,1,1,unmarried_couple,100000,0,0,Top,1.0
184,87,185,0,Single,Male,White,32,1,1,1,unmarried_couple,100000,0,0,Top,0.0
185,87,186,0,Single,Male,White,4,0,1,0,unmarried_couple,100000,0,0,Top,0.0
186,88,187,1,Single,Female,White,30,1,0,1,unmarried_couple,113600,1,0,Top,0.0
187,88,188,0,Single,Male,White,32,0,0,1,unmarried_couple,113600,1,0,Top,0.0
188,89,189,1,Single,Female,White,34,0,0,1,unmarried_couple,89800,1,0,Top,0.0
189,89,190,0,Single,Male,White,33,1,1,1,unmarried_couple,89800,1,0,Top,0.0
190,89,191,0,Single,Male,White,6,0,1,0,unmarried_couple,89800,1,0,Top,0.0
191,90,192,1,Married,Female,White,31,0,0,1,married_couple,103600,0,1,Bottom,1.0
192,90,193,0,Married,Male,Asian,31,1,1,1,married_couple,103600,0,1,Bottom,0.0
193,90,194,0,Single,Female,White,5,0,1,0,married_couple,103600,0,1,Bottom,0.0
194,90,195,0,Single,Female,White,2,0,1,0,married_couple,103600,0,1,Bottom,0.0
195,91,196,1,Single,Male,White,34,1,1,1,single_Male_head_of_household,58400,0,0,Top,0.0
196,92,197,1,Single,Female,White,31,1,1,1,unmarried_couple,97400,1,0,Top,1.0
197,92,198,0,Single,Male,White,31,1,1,1,unmarried_couple,97400,1,0,Top,0.0
198,92,199,0,Single,Female,White,5,0,1,0,unmarried_couple,97400,1,0,Top,0.0
199,93,200,1,Single,Female,White,32,1,1,1,unmarried_couple,97200,1,0,Middle,0.0
200,93,201,0,Single,Male,White,31,1,1,1,unmarried_couple,97200,1,0,Middle,1.0
201,94,202,1,Married,Female,Asian,30,1,1,1,married_couple,113600,1,1,Middle,0.0
202,94,203,0,Married,Male,White,30,0,1,1,married_couple,113600,1,1,Middle,0.0
203,95,204,1,Married,Female,White,27,1,0,1,married_couple,99200,1,1,Middle,0.0
204,95,205,0,Married,Male,White,29,0,0,1,married_couple,99200,1,1,Middle,0.0
205,95,206,0,Single,Female,White,2,0,1,0,married_couple,99200,1,1,Middle,0.0
206,95,207,0,Single,Male,White,4,0,1,0,married_couple,99200,1,1,Middle,0.0
207,96,208,1,Single,Female,White,31,1,1,1,single_Female_head_of_household,56100,1,0,Top,0.0
208,96,209,0,Single,Female,White,5,0,0,0,single_Female_head_of_household,56100,1,0,Top,0.0
209,97,210,1,Single,Male,White,34,0,1,1,single_Male_head_of_household,54500,0,0,Bottom,0.0
210,98,211,1,Single,Male,White,32,0,1,1,single_Male_head_of_household,64100,1,0,Middle,1.0
211,99,212,1,Single,Female,Asian,25,1,1,1,unmarried_couple,88400,0,0,Top,1.0
212,99,213,0,Single,Male,White,30,1,0,1,unmarried_couple,88400,0,0,Top,0.0
213,100,214,1,Single,Female,White,33,0,1,1,unmarried_couple,105000,0,0,Top,0.0
214,100,215,0,Single,Male,White,28,1,1,1,unmarried_couple,105000,0,0,Top,0.0
215,101,216,1,Single,Male,Asian,34,0,0,1,single_Male_head_of_household,42200,1,0,Top,0.0
216,102,217,1,Single,Female,Asian,30,1,1,1,unmarried_couple,101800,0,0,Middle,0.0
217,102,218,0,Single,Male,White,31,1,0,1,unmarried_couple,101800,0,0,Middle,0.0
218,102,219,0,Single,Male,Asian,5,0,0,0,unmarried_couple,101800,0,0,Middle,0.0
219,103,220,1,Married,Female,White,33,1,1,1,married_couple,93000,0,1,Bottom,1.0
220,103,221,0,Married,Male,White,31,0,1,1,married_couple,93000,0,1,Bottom,1.0
221,103,222,0,Single,Female,White,7,0,1,0,married_couple,93000,0,1,Bottom,0.0
222,104,223,1,Single,Female,White,28,1,0,1,unmarried_couple,88200,0,0,Top,0.0
223,104,224,0,Single,Male,Black,34,0,1,1,unmarried_couple,88200,0,0,Top,1.0
224,104,225,0,Single,Female,White,3,0,0,0,unmarried_couple,88200,0,0,Top,0.0
225,104,226,0,Single,Female,White,4,0,0,0,unmarried_couple,88200,0,0,Top,0.0
226,105,227,1,Single,Male,White,25,1,0,1,single_Male_head_of_household,45800,1,0,Top,0.0
227,106,228,1,Married,Female,Asian,30,1,1,1,married_couple,109600,1,1,Middle,1.0
228,106,229,0,Married,Male,White,30,0,0,1,married_couple,109600,1,1,Middle,1.0
229,106,230,0,Single,Male,Asian,5,0,1,0,married_couple,109600,1,1,Middle,0.0
230,107,231,1,Single,Female,Asian,25,0,0,1,single_Female_head_of_household,56600,1,0,Top,0.0
231,108,232,1,Single,Female,White,31,1,1,1,unmarried_couple,89400,1,0,Top,0.0
232,108,233,0,Single,Male,White,32,0,1,1,unmarried_couple,89400,1,0,Top,1.0
233,108,234,0,Single,Female,White,4,0,1,0,unmarried_couple,89400,1,0,Top,0.0
234,109,235,1,Married,Female,Black,27,0,1,1,married_couple,103400,0,1,Top,0.0
235,109,236,0,Married,Male,White,25,1,1,1,married_couple,103400,0,1,Top,0.0
236,110,237,1,Single,Male,White,33,0,0,1,single_Male_head_of_household,52000,0,0,Middle,0.0
237,111,238,1,Single,Female,White,31,1,1,1,unmarried_couple,101400,0,0,Top,0.0
238,111,239,0,Single,Male,White,30,0,0,1,unmarried_couple,101400,0,0,Top,0.0
239,111,240,0,Single,Female,White,5,0,1,0,unmarried_couple,101400,0,0,Top,0.0
240,112,241,1,Single,Male,White,29,1,0,1,single_Male_head_of_household,55000,1,0,Middle,1.0
241,113,242,1,Single,Female,White,30,0,0,1,unmarried_couple,123200,1,0,Top,1.0
242,113,243,0,Single,Male,Asian,33,0,0,1,unmarried_couple,123200,1,0,Top,0.0
243,113,244,0,Single,Female,White,5,0,1,0,unmarried_couple,123200,1,0,Top,0.0
244,114,245,1,Single,Female,Asian,33,1,0,1,unmarried_couple,105200,1,0,Bottom,1.0
245,114,246,0,Single,Male,White,34,0,0,1,unmarried_couple,105200,1,0,Bottom,1.0
246,115,247,1,Single,Female,White,30,1,1,1,unmarried_couple,99600,0,0,Top,0.0
247,115,248,0,Single,Male,White,32,0,1,1,unmarried_couple,99600,0,0,Top,0.0
248,116,249,1,Single,Female,White,30,0,1,1,unmarried_couple,109600,1,0,Top,1.0
249,116,250,0,Single,Male,White,28,1,0,1,unmarried_couple,109600,1,0,Top,0.0
250,116,251,0,Single,Female,White,3,0,1,0,unmarried_couple,109600,1,0,Top,0.0
251,116,252,0,Single,Female,White,2,0,1,0,unmarried_couple,109600,1,0,Top,0.0
252,117,253,1,Married,Female,White,31,0,1,1,married_couple,104400,0,1,Top,0.0
253,117,254,0,Married,Male,White,25,1,0,1,married_couple,104400,0,1,Top,0.0
254,118,255,1,Single,Male,White,31,1,0,1,single_Male_head_of_household,52400,1,0,Top,0.0
255,119,256,1,Single,Female,White,27,1,1,1,unmarried_couple,98400,0,0,Bottom,1.0
256,119,257,0,Single,Male,White,26,1,1,1,unmarried_couple,98400,0,0,Bottom,1.0
257,119,258,0,Single,Female,White,2,0,1,0,unmarried_couple,98400,0,0,Bottom,0.0
258,120,259,1,Single,Female,White,28,1,0,1,unmarried_couple,106000,1,0,Middle,0.0
259,120,260,0,Single,Male,White,28,1,0,1,unmarried_couple,106000,1,0,Middle,0.0
260,121,261,1,Single,Female,Asian,33,1,0,1,unmarried_couple,93800,0,0,Top,0.0
261,121,262,0,Single,Male,White,29,1,1,1,unmarried_couple,93800,0,0,Top,0.0
262,122,263,1,Single,Female,White,33,1,1,1,unmarried_couple,87000,1,0,Top,0.0
263,122,264,0,Single,Male,Black,27,1,0,1,unmarried_couple,87000,1,0,Top,0.0
264,123,265,1,Married,Female,White,34,0,1,1,married_couple,101000,1,1,Bottom,1.0
265,123,266,0,Married,Male,Black,31,0,1,1,married_couple,101000,1,1,Bottom,1.0
266,123,267,0,Single,Female,White,6,0,0,0,married_couple,101000,1,1,Bottom,0.0
267,124,268,1,Single,Female,White,28,1,1,1,unmarried_couple,104200,0,0,Top,0.0
268,124,269,0,Single,Male,White,30,0,1,1,unmarried_couple,104200,0,0,Top,0.0
269,125,270,1,Married,Female,White,33,0,1,1,married_couple,80600,1,1,Top,0.0
270,125,271,0,Married,Male,White,26,0,1,1,married_couple,80600,1,1,Top,1.0
271,125,272,0,Single,Male,White,2,0,1,0,married_couple,80600,1,1,Top,0.0
272,125,273,0,Single,Female,White,2,0,1,0,married_couple,80600,1,1,Top,0.0
273,126,274,1,Single,Female,White,32,1,1,1,unmarried_couple,72000,0,0,Top,0.0
274,126,275,0,Single,Male,Asian,27,1,0,1,unmarried_couple,72000,0,0,Top,0.0
275,127,276,1,Single,Female,Asian,29,1,1,1,unmarried_couple,94800,0,0,Top,0.0
276,127,277,0,Single,Male,White,32,0,1,1,unmarried_couple,94800,0,0,Top,0.0
277,128,278,1,Single,Female,Black,33,1,0,1,unmarried_couple,87000,1,0,Top,0.0
278,128,279,0,Single,Male,White,31,0,1,1,unmarried_couple,87000,1,0,Top,0.0
279,129,280,1,Single,Female,White,34,1,1,1,unmarried_couple,96400,0,0,Top,1.0
280,129,281,0,Single,Male,Black,31,0,1,1,unmarried_couple,96400,0,0,Top,0.0
281,129,282,0,Single,Male,White,7,0,0,0,unmarried_couple,96400,0,0,Top,0.0
282,129,283,0,Single,Male,White,6,0,0,0,unmarried_couple,96400,0,0,Top,0.0
283,130,284,1,Single,Female,White,33,1,1,1,unmarried_couple,88000,0,0,Top,0.0
284,130,285,0,Single,Male,White,29,0,1,1,unmarried_couple,88000,0,0,Top,0.0
285,131,286,1,Single,Female,White,34,0,1,1,single_Female_head_of_household,55100,1,0,Top,0.0
286,132,287,1,Single,Male,Black,26,0,0,1,single_Male_head_of_household,49800,0,0,Bottom,0.0
287,133,288,1,Married,Female,White,30,1,0,1,married_couple,89400,1,1,Top,0.0
288,133,289,0,Married,Male,White,31,1,0,1,married_couple,89400,1,1,Top,0.0
289,134,290,1,Single,Male,White,34,0,0,1,single_Male_head_of_household,50300,1,0,Top,0.0
290,134,291,0,Single,Female,White,5,0,1,0,single_Male_head_of_household,50300,1,0,Top,0.0
291,135,292,1,Married,Female,White,33,0,0,1,married_couple,100400,1,1,Top,0.0
292,135,293,0,Married,Male,White,33,0,1,1,married_couple,100400,1,1,Top,0.0
293,136,294,1,Single,Female,White,32,0,1,1,unmarried_couple,81800,0,0,Top,1.0
294,136,295,0,Single,Male,White,27,0,0,1,unmarried_couple,81800,0,0,Top,0.0
295,136,296,0,Single,Male,White,7,0,0,0,unmarried_couple,81800,0,0,Top,0.0
